patente,mapa,interno,marca,modelo,sucursal,uso,revisar,original,tracto
AC078XC,S-D,,,,,,,LAD 6 GOMAS,
AD247MQ,S-D-D,2,SCANIA,545-R400 A6X2,LAD,LARGA DISTANCIA,,LAD 10 GOMAS,
AD815KX,S-D,,,,,,,LAD 6 GOMAS,
AE423IV,S-D,4,IVECO,460S36TLA14,LAD,LARGA DISTANCIA,,LAD 6 GOMAS,
AE423IW,S-D,5,SCANIA,G360 A4X2,LAD,LARGA DISTANCIA,,LAD 6 GOMAS,
AE588MW,S-D-D,6,IVECO,CN-600S44TLA15,LAD,LARGA DISTANCIA,,LAD 10 GOMAS,
AE988UW,S-D,7,IVECO,490S44T AT,LAD,LARGA DISTANCIA,,LAD 6 GOMAS,
AF218HY,S-D-D,8,IVECO,E-600S44TLA05,LAD,LARGA DISTANCIA,,LAD 10 GOMAS,
AF470UT,S-D,9,IVECO,BV-490S44T AT,LAD,LARGA DISTANCIA,,LAD 6 GOMAS,
AF533SB,S-D,10,IVECO,BV-490S44T AT,LAD,LARGA DISTANCIA,,LAD 6 GOMAS,
AF577BD,S-D,11,IVECO,EN-R7T4B3B8-STRALIS,LAD,LARGA DISTANCIA,,LAD 6 GOMAS,
AF796IX,S-D-D,12,IVECO,CN-600S44TLA15,LAD,LARGA DISTANCIA,,LAD 10 GOMAS,
AG286TR,S-D,13,IVECO,FD-530S36TLA85A,LAD,LARGA DISTANCIA,,LAD 6 GOMAS,
AG708DM,S-D,14,IVECO,STRALIS 490S44T,LAD,LARGA DISTANCIA,,LAD 6 GOMAS,
AG865QF,S-D,15,IVECO,AS490S44TPA14,LAD,LARGA DISTANCIA,,LAD 6 GOMAS,
AG983HW,S-D-D,16,IVECO,FN-AS600S44TYPA85,LAD,LARGA DISTANCIA,,LAD 10 GOMAS,
AH522SI,S-D-D,17,IVECO,597-S-WAY 480 6X2,LAD,LARGA DISTANCIA,,LAD 10 GOMAS,
AH861UB,S-D-D,18,IVECO,S-WAY AS490-480 T 3500,LAD,LARGA DISTANCIA,,LAD 10 GOMAS,
AH938VO,S-D-D,19,IVECO,597-S-WAY 480 6X2,LAD,LARGA DISTANCIA,,LAD 10 GOMAS,
AH842GQ,S-D-D,20,IVECO,597-S-WAY 480 6X2,LAD,LARGA DISTANCIA,,LAD 10 GOMAS,
AF310TU,S-D-S,100,IVECO,STRALIS HI STREET 26-330 GNC,BUE,DISTRIBUCION LOCAL,revisar,LAD 8 GOMAS,
AG082ZL,S-S,101,IVECO,DAILY 55-170,BUE,DISTRIBUCION LOCAL,,4 RUEDAS,
AG797NJ,S-S,102,TOYOTA,HIACE,BUE,DISTRIBUCION LOCAL,,4 RUEDAS,
KOF186,S-D,103,IVECO,DAILY 70 C16,BUE,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
KSP007,S-S,104,FORD,TRANSIT 2.4L,BUE,DISTRIBUCION LOCAL,,4 RUEDAS,
NBR784,S-D,105,DFM,1063CJ10,BUE,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
POL139,S-S,,,,,,,4 RUEDAS,
VWL688,S-D,107,MERCEDES BENZ,L1614,BUE,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
VXO389,S-D,108,MERCEDES BENZ,L1614,BUE,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
VYE907,S-D,109,MERCEDES BENZ,L1614,BUE,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
AD909NU,S-D,200,MERCEDES BENZ,ACCELO 815,CAT,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
AE116RO,S-D,201,IVECO,DAILY 55C17,CAT,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
AF103BT,S-S,202,TOYOTA,HIACE L2H2,CAT,DISTRIBUCION LOCAL,,4 RUEDAS,
AF591UW,S-D,203,IVECO,DAILY 55-170,CAT,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
AG070OR,S-D,204,IVECO,170E28 MLL,CAT,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
DHS534,S-D-D,205,FORD,CARGO,CAT,DISTRIBUCION LOCAL,,LAD 10 GOMAS,
HJM284,S-S,207,SUSUKI,GRAND VITARA,BUE,PARTICULAR,,4 RUEDAS,
PAN639,S-S,208,MERCEDES BENZ,SPRINTER 515 CDI,CAT,DISTRIBUCION LOCAL,,4 RUEDAS,
FCD514,,,,,,,FALTA,,
AA967DI,,,CHEVROLET,,,,FALTA,,
EWQ717,S-S,250,PEUGEOT,BOXER 2.8 TD,BEL,DISTRIBUCION LOCAL,,4 RUEDAS,
HCU499,S-D,251,MERCEDES BENZ,L 1318,COR,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
AA823XJ,S-D-D,300,IVECO,BS-170E28 MLL,COR,DISTRIBUCION LOCAL,,LAD 10 GOMAS,
MDH784,S-D,301,HYUNDAI,HD 78,COR,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
MJF275,S-D,302,FORD,CARGO,CAT,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
PIQ468,S-D,303,MERCEDES BENZ,SPRINTER 515 CDI,COR,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
AG224IE,S-D-D,400,IVECO,FL-150E21NCMC1A,LRJ,DISTRIBUCION LOCAL,,LAD 10 GOMAS,
CDZ499,S-D,401,MERCEDES BENZ,272-710,LRJ,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
CYD468,S-S,402,MERCEDES BENZ,SPRINTER 310D/F,BUE,DISTRIBUCION LOCAL,,4 RUEDAS,
IEX213,S-S,403,PEUGEOT,207 COMPACT,TAL,DISTRIBUCION LOCAL,,4 RUEDAS,
ISK266,S-S,404,RENAULT,MASTER PH3,BUE,DISTRIBUCION LOCAL,,4 RUEDAS,
JEA499,S-D,405,KIA,207-K2500,BUE,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
RYN309,S-D,406,MERCEDES BENZ,608 D/35,LRJ,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
AE527FA,S-S,450,IVECO,523-DAILY 30-130,SAL,DISTRIBUCION LOCAL,,4 RUEDAS,
CAF865,S-D,500,MERCEDES BENZ,L-1620,CAT,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
FLG593,S-D-D,501,SCANIA,P 94DB,TUC,DISTRIBUCION LOCAL,,LAD 10 GOMAS,
GWF267,S-S,502,IVECO,DAILY 40S14,TUC,DISTRIBUCION LOCAL,,4 RUEDAS,
PDS082,S-D,503,IVECO,,TUC,DISTRIBUCION LOCAL,,LAD 6 GOMAS,
AA114ZX,D-D-D,,,,LAD,SEMIRREMOLQUE,revisar,SEMI 1 Y 2 EJES,AF533SB
AA472IP,D-D-D,,,,,SEMIRREMOLQUE,revisar,SEMI 1 Y 2 EJES,
AB102VH,D-D-D,,,,LAD,SEMIRREMOLQUE,revisar,SEMI 1 Y 2 EJES,AE423IV
AB102VI,D-D-D,,,,,SEMIRREMOLQUE,revisar,SEMI 1 Y 2 EJES,
AC538KW,D-D-D,,,,LAD,SEMIRREMOLQUE,revisar,SEMI 3 EJES JUNTOS,AH522SI
AD256KU,D-D-D,,,,,SEMIRREMOLQUE,revisar,SEMI 1 Y 2 EJES,
AD900UK,D-D-D,,,,LAD,SEMIRREMOLQUE,revisar,SEMI 3 EJES JUNTOS,AF577BD
AE456MJ,D-D-D,,,,LAD,SEMIRREMOLQUE,revisar,SEMI 3 EJES JUNTOS,AD247MQ
AE456MK,D-D-D,,,,LAD,SEMIRREMOLQUE,revisar,SEMI 3 EJES JUNTOS,AE588MW
AF294QU,D-D-D,,,,LAD,SEMIRREMOLQUE,revisar,SEMI 1 Y 2 EJES,AF470UT
AF455DQ,D-D-D,,,,LAD,SEMIRREMOLQUE,revisar,SEMI 1 Y 2 EJES,AF218HY
AF455DS,D-D-D,,,,,SEMIRREMOLQUE,revisar,SEMI 1 Y 2 EJES,
AF677RJ,D-D-D,,,,LAD,SEMIRREMOLQUE,revisar,SEMI 1 Y 2 EJES,AF796IX
AF788NT,D-D-D,,,,LAD,SEMIRREMOLQUE,revisar,SEMI 1 Y 2 EJES,AG286TR
AG888WA,D-D-D,,,,LAD,SEMIRREMOLQUE,revisar,SEMI 3 EJES JUNTOS,AH842GQ
AH048RS,D-D-D,,,,LAD,SEMIRREMOLQUE,revisar,SEMI 1 Y 2 EJES,AG708DM
AH935PH,D-D-D,,,,LAD,SEMIRREMOLQUE,revisar,SEMI 1 Y 2 EJES,AH861UB
FMC282,D-D-D,,,,,SEMIRREMOLQUE,revisar,SEMI 1 Y 2 EJES,
GSI549,D-D-D,,,,,SEMIRREMOLQUE,revisar,SEMI 1 Y 2 EJES,
HLK903,D-D-D,,,,,SEMIRREMOLQUE,revisar,SEMI 1 Y 2 EJES,
KUI769,D-D-D,,,,LAD,SEMIRREMOLQUE,revisar,SEMI 3 EJES JUNTOS,AE423IW
